epoch,loss,accuracy
1,0.15664720689530173,0.9532333333333334
2,0.04463539572252582,0.9863666666666666
3,0.030092420760945728,0.9903666666666666
4,0.023562407836519802,0.9925833333333334
5,0.01670296393603397,0.9948166666666667
